cod_municipio;municipio;indice_expectativa_vida
314790;Passos;78.15
314480;Nova Lima;78.1
316880;Tiradentes;78.1
317020;Uberlândia;78.09
313240;Itajubá;78.06
317130;Viçosa;77.96
310560;Barbacena;77.88
312870;Guaxupé;77.81
313820;Lavras;77.8
314980;Perdizes;77.8
