cod_municipio;municipio;indice_mortalidade_infantil
314790;Passos;10.35
313240;Itajubá;10.5
310560;Barbacena;10.53
317020;Uberlândia;10.68
316880;Tiradentes;11.0
317130;Viçosa;11.12
313170;Itabira;11.18
315180;Poços de Caldas;11.27
312870;Guaxupé;11.3
315780;Santa Luzia;11.3
