Presidente Bernardes;73.23
Cajuri;73.26
Espinosa;73.26
Indaiabira;73.26
Novorizonte;73.26
Porto Firme;73.26
Santa Fé de Minas;73.26
São Francisco;73.26
Teixeiras;73.26
Araçaí;73.28
Capitão Andrade;73.28
Carmésia;73.28
Natércia;73.28
Sobrália;73.28
São João do Manteninha;73.3
Fortaleza de Minas;73.31
Córrego Novo;73.32
Minduri;73.32
São João do Oriente;73.32
Ubaporanga;73.32
Onça de Pitangui;73.33
Consolação;73.36
Marmelópolis;73.36
Piranguçu;73.36
Capitão Enéas;73.37
São João Evangelista;73.37
Varzelândia;73.37
Cordislândia;73.39
Pedralva;73.39
Couto de Magalhães de Minas;73.4
Guaraciama;73.4
Jacinto;73.4
Rio do Prado;73.4
Fernandes Tourinho;73.43
Caranaíba;73.44
Riacho dos Machados;73.45
Águas Vermelhas;73.46
Delta;73.46
Passa Tempo;73.46
Rubelita;73.46
São João do Paraíso;73.46
Pequi;73.47
Vieiras;73.47
Coração de Jesus;73.48
Francisco Sá;73.48
Juramento;73.48
Bom Sucesso;73.49
Tocos do Moji;73.49
Poté;73.52
Caputira;73.53
Desterro do Melo;73.53
Luisburgo;73.53
Martins Soares;73.53
Passa-Vinte;73.53
Santana do Manhuaçu;73.53
Piracema;73.54
Montezuma;73.55
Morro do Pilar;73.55
São Sebastião do Rio Preto;73.55
Serra Azul de Minas;73.55
Olímpio Noronha;73.56
Santa Bárbara do Tugúrio;73.57
Aimorés;73.58
Lajinha;73.6
Arceburgo;73.61
Inimutaba;73.61
Itamogi;73.61
Jacuí;73.61
Águas Formosas;73.63
Amparo do Serra;73.63
Diogo de Vasconcelos;73.63
Itaverava;73.63
Monte Azul;73.63
Nova Porteirinha;73.63
Vargem Grande do Rio Pardo;73.63
Bandeira;73.64
Coroaci;73.64
Divino das Laranjeiras;73.64
Vespasiano;73.65
Urucânia;73.67
Rosário da Limeira;73.69
São Francisco de Paula;73.69
Sabinópolis;73.71
Sardoá;73.71
Divinolândia de Minas;73.72
Glaucilândia;73.72
Lagoa Grande;73.72
Olhos-d Agua;73.72
Guiricema;73.74
Albertina;73.76
Ataléia;73.77
Belo Oriente;73.77
Pavão;73.77
Araporã;73.78
Brasília de Minas;73.78
Romaria;73.78
São João da Lagoa;73.78
Rio Casca;73.79
Fronteira dos Vales;73.8
Ipiaçu;73.82
São José do Goiabal;73.83
Várzea da Palma;73.83
Belo Vale;73.86
Arinos;73.88
Buritis;73.88
Dom Bosco;73.88
Umburatiba;73.88
Augusto de Lima;73.9
Felixlândia;73.9
Salinas;73.9
Taiobeiras;73.9
Conceição da Barra de Minas;73.91
Engenheiro Caldas;73.91
São Gonçalo do Rio Preto;73.91
Ritápolis;73.91
Santa Cruz do Escalvado;73.91
Santana de Pirapama;73.93
Cantagalo;73.94
São Sebastião do Maranhão;73.94
Berilo;73.97
Crucilândia;73.97
Morro da Garça;73.97
Santa Bárbara;73.97
Turmalina;73.98
Jequitinhonha;73.99
Rubim;73.99
Argirita;74.0
Santa Maria do Suaçuí;74.03
Andrelândia;74.06
Nova União;74.06
Taquaraçu de Minas;74.06
Dom Joaquim;74.12
Dom Viçoso;74.12
Iapu;74.12
Vargem Alegre;74.12
Monjolos;74.16
Carvalhos;74.2
Chapada Gaúcha;74.22
Guanhães;74.22
Januária;74.22
Piedade do Rio Grande;74.22
Dionísio;74.24
Ferros;74.24
Santa Maria de Itabira;74.24
Bom Repouso;74.25
Cachoeira de Minas;74.25
Cana Verde;74.25
Conceição das Pedras;74.25
Munhoz;74.25
Senador Amaral;74.25
Dores de Guanhães;74.26
Pedra do Anta;74.26
Araçuaí;74.27
Campos Gerais;74.27
